clave_letra,entidad,gasto_pond,entidad_int,estado,categoria
K,11,1030146900.0,11,Guanajuato,Enseres domésticos
K,12,790990700.0,12,Guerrero,Enseres domésticos
K,13,858580160.0,13,Hidalgo,Enseres domésticos
K,14,1844664600.0,14,Jalisco,Enseres domésticos
K,15,2021133700.0,15,México,Enseres domésticos
K,16,1748242000.0,16,Michoacán de Ocampo,Enseres domésticos
K,17,441813540.0,17,Morelos,Enseres domésticos
K,18,384274050.0,18,Nayarit,Enseres domésticos
K,19,1831711000.0,19,Nuevo León,Enseres domésticos
K,20,963799740.0,20,Oaxaca,Enseres domésticos
K,21,1109646300.0,21,Puebla,Enseres domésticos
K,22,659042200.0,22,Querétaro,Enseres domésticos
K,23,598619840.0,23,Quintana Roo,Enseres domésticos
K,24,655595900.0,24,San Luis Potosí,Enseres domésticos
K,25,1000103200.0,25,Sinaloa,Enseres domésticos
K,26,1189081200.0,26,Sonora,Enseres domésticos
K,27,406913860.0,27,Tabasco,Enseres domésticos
K,28,931132800.0,28,Tamaulipas,Enseres domésticos
K,29,193911000.0,29,Tlaxcala,Enseres domésticos
K,30,2046104200.0,30,Veracruz de Ignacio de la Llave,Enseres domésticos
K,31,847118800.0,31,Yucatán,Enseres domésticos
K,32,425184400.0,32,Zacatecas,Enseres domésticos
L,1,139620290.0,1,Aguascalientes,Esparcimiento
L,2,258470430.0,2,Baja California,Esparcimiento
L,3,81278220.0,3,Baja California Sur,Esparcimiento
L,4,67249440.0,4,Campeche,Esparcimiento
L,5,237085170.0,5,Coahuila de Zaragoza,Esparcimiento
L,6,60105436.0,6,Colima,Esparcimiento
L,7,135863620.0,7,Chiapas,Esparcimiento
L,8,209148690.0,8,Chihuahua,Esparcimiento
L,9,915127600.0,9,Ciudad de México,Esparcimiento
L,10,102328150.0,10,Durango,Esparcimiento
L,11,312939800.0,11,Guanajuato,Esparcimiento
L,12,142099380.0,12,Guerrero,Esparcimiento
L,13,157516670.0,13,Hidalgo,Esparcimiento
L,14,419701760.0,14,Jalisco,Esparcimiento
L,15,659821600.0,15,México,Esparcimiento
L,16,348995900.0,16,Michoacán de Ocampo,Esparcimiento
L,17,120617920.0,17,Morelos,Esparcimiento
L,18,82540350.0,18,Nayarit,Esparcimiento
L,19,457465200.0,19,Nuevo León,Esparcimiento
L,20,120741550.0,20,Oaxaca,Esparcimiento
L,21,341007400.0,21,Puebla,Esparcimiento
L,22,215793090.0,22,Querétaro,Esparcimiento
